City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Altona,US,90,1540521300,57,41.11,-90.16,50.0,6.93
Rikitea,PF,24,1540523126,100,-23.12,-134.97,71.54,9.33
Aklavik,CA,40,1540520100,92,68.22,-135.01,17.6,5.82
Zhigansk,RU,56,1540523127,79,66.77,123.37,6.78,3.96
Lebu,ET,12,1540523128,80,8.96,38.73,38.46,2.73
Adrar,DZ,0,1540519200,41,27.87,-0.29,59.0,9.17
Peniche,PT,90,1540519200,100,39.36,-9.38,57.2,1.12
Sol-Iletsk,RU,68,1540523128,49,51.16,55.0,62.76,18.05
Puerto Ayora,EC,0,1540523129,100,-0.74,-90.35,69.47,14.03
Atuona,PF,8,1540523129,100,-9.8,-139.03,79.95,15.82
Norman Wells,CA,75,1540519200,92,65.28,-126.83,26.6,2.24
Port Lincoln,AU,0,1540522555,82,-34.72,135.86,64.43,12.8
Saint-Philippe,CA,90,1540520100,50,45.36,-73.48,33.8,11.41
Guilin,CN,75,1540519200,64,25.28,110.29,73.4,8.95
Belmonte,PT,56,1540523131,84,40.36,-7.35,47.33,2.73
Talcahuano,CL,40,1540519200,87,-36.72,-73.12,55.4,6.93
Kapaa,US,40,1540518960,74,22.08,-159.32,84.2,13.87
Kupang,ID,0,1540523132,69,-10.16,123.6,89.09,4.18
Hermanus,ZA,12,1540523132,90,-34.42,19.24,56.69,3.74
Port Hardy,CA,5,1540519200,81,50.7,-127.42,51.8,10.29
Daru,SL,32,1540522578,89,7.99,-10.85,73.79,3.06
Tsabong,BW,0,1540523132,36,-26.02,22.4,53.49,2.95
Jamestown,AU,0,1540523133,31,-33.21,138.6,79.01,3.85
Broome,GB,64,1540520400,87,52.47,1.45,50.0,9.17
Punta Arenas,CL,90,1540519200,81,-53.16,-70.91,44.6,9.17
Thompson,CA,90,1540519200,79,55.74,-97.86,28.4,4.7
Hithadhoo,MV,44,1540523134,100,-0.6,73.08,81.71,7.99
Caravelas,BR,88,1540523134,100,-17.73,-39.27,74.51,12.8
Vaini,IN,0,1540523134,83,15.34,74.49,74.91,7.76
Albany,US,75,1540522260,64,42.65,-73.75,37.4,3.36
Khatanga,RU,88,1540523135,82,71.98,102.47,9.84,8.77
Tuktoyaktuk,CA,20,1540519200,85,69.44,-133.03,15.8,9.78
Vanimo,PG,24,1540522567,100,-2.67,141.3,81.48,4.63
Beloha,MG,0,1540523135,86,-25.17,45.06,65.64,11.01
Arlit,NE,0,1540523135,35,18.74,7.39,69.38,7.2
Chokurdakh,RU,12,1540523136,84,70.62,147.9,3.36,4.52
Makakilo City,US,20,1540519020,58,21.35,-158.09,86.0,6.93
Barra,GM,12,1540519200,94,13.49,-16.54,78.8,8.05
Arraial do Cabo,BR,92,1540523137,100,-22.97,-42.02,70.82,18.5
Cherskiy,RU,0,1540523137,71,68.75,161.3,-5.42,2.17
Kruisfontein,ZA,20,1540523137,89,-34.0,24.73,60.38,5.97
Cidreira,BR,68,1540522587,94,-30.17,-50.22,65.19,8.43
Gdynia,PL,40,1540522800,100,54.52,18.54,42.8,4.7
Baghdad,IQ,75,1540522800,73,33.3,44.38,71.6,11.41
San Jose,PH,0,1540522899,67,15.79,120.99,84.9,1.72
Tasiilaq,GL,20,1540522200,57,65.61,-37.64,23.0,3.36
Maloy,ID,32,1540523141,69,1.0,118.1,85.89,2.39
Castro,CL,80,1540522989,93,-42.48,-73.76,46.11,0.38
Pangnirtung,CA,76,1540523082,93,66.15,-65.72,18.71,8.1
Baton Rouge,US,90,1540518780,93,30.45,-91.15,64.4,6.93
Dombarovskiy,RU,44,1540523142,43,50.76,59.54,56.55,20.74
Dingzhou,CN,0,1540519200,15,38.51,115.0,57.2,13.42
Petropavlovsk-Kamchatskiy,RU,75,1540521000,87,53.05,158.65,44.6,15.66
Alta Floresta,BR,20,1540522573,75,-9.87,-56.08,78.24,3.4
Victoria,BN,75,1540521000,88,5.28,115.24,86.0,2.24
Clyde River,CA,90,1540521600,100,70.47,-68.59,17.6,13.87
Poum,MK,0,1540523144,76,41.28,20.71,26.81,1.83
Tiksi,RU,0,1540523144,72,71.64,128.87,-2.49,2.73
Butaritari,KI,12,1540523144,100,3.07,172.79,85.89,4.97
Bluff,AU,0,1540523144,29,-23.58,149.07,95.57,4.74
Cape Town,ZA,0,1540519200,88,-33.93,18.42,62.6,13.87
Ikom,NG,0,1540522572,94,5.96,8.72,69.56,2.73
Kazerun,IR,24,1540523145,82,29.62,51.65,56.78,1.95
Port Elizabeth,US,1,1540522500,100,39.31,-74.98,48.2,5.86
Santiago de Cao,PE,0,1540519200,88,-7.96,-79.24,62.6,8.05
Ushuaia,AR,0,1540519200,52,-54.81,-68.31,46.4,5.82
Busselton,AU,24,1540523133,84,-33.64,115.35,68.34,11.9
Lavrentiya,RU,88,1540523146,100,65.58,-170.99,37.07,32.03
Cabo San Lucas,MX,75,1540518000,73,22.89,-109.91,77.0,6.93
Carnarvon,ZA,0,1540523147,30,-30.97,22.13,49.08,2.73
Atar,MR,92,1540523147,29,20.52,-13.05,84.36,8.32
Nanortalik,GL,92,1540523147,100,60.14,-45.24,31.13,23.2
Kurchum,KZ,0,1540523033,82,48.57,83.65,36.48,5.75
Upernavik,GL,0,1540523148,100,72.79,-56.15,17.94,8.21
Viedma,AR,100,1540523059,94,-40.81,-62.99,51.6,10.11
Kodinsk,RU,88,1540523114,84,58.6,99.18,36.21,6.31
Tuatapere,NZ,64,1540523148,100,-46.13,167.69,49.67,3.74
Obo,CF,64,1540523149,96,5.39,26.49,68.12,3.62
New Norfolk,AU,40,1540521000,41,-42.78,147.06,59.0,6.93
Hofn,IS,92,1540522564,100,64.25,-15.21,37.11,11.9
Zhigalovo,RU,88,1540523150,81,54.81,105.15,32.25,3.74
Grand Gaube,MU,40,1540519200,82,-20.01,57.66,68.0,1.12
Severo-Kurilsk,RU,92,1540523151,95,50.68,156.12,45.71,12.68
Provideniya,RU,75,1540521000,74,64.42,-173.23,33.8,24.61
Miramar,CR,75,1540520460,94,10.09,-84.73,69.8,2.24
Souillac,FR,8,1540521000,87,45.6,-0.6,44.6,3.4
Tautira,PF,75,1540521000,69,-17.73,-149.15,82.4,3.36
Mataura,NZ,12,1540523152,83,-46.19,168.86,55.79,4.63
Atlantic Beach,US,90,1540520040,88,30.33,-81.4,71.6,11.41
Pevek,RU,76,1540523153,100,69.7,170.27,15.33,4.41
Cumana,VE,20,1540522800,88,10.46,-64.17,80.6,2.06
Mar del Plata,AR,20,1540523010,85,-46.43,-67.52,50.48,11.68
